
> star-paper@0.1.0 preview
> npx --yes serve . -l 8080

 INFO  Accepting connections at http://localhost:8080
 HTTP  29/05/2026 09:19:46 ::1 GET /
 HTTP  29/05/2026 09:19:47 127.0.0.1 GET /
 HTTP  29/05/2026 09:19:46 ::1 Returned 200 in 180 ms
 HTTP  29/05/2026 09:19:47 127.0.0.1 Returned 200 in 10 ms
 HTTP  29/05/2026 09:39:39 127.0.0.1 GET /
 HTTP  29/05/2026 09:39:39 127.0.0.1 Returned 200 in 27 ms
 HTTP  29/05/2026 09:39:39 127.0.0.1 GET /app.browser-assets.js?v=5
 HTTP  29/05/2026 09:39:39 127.0.0.1 Returned 200 in 17 ms
 HTTP  29/05/2026 09:39:39 127.0.0.1 GET /app.public-pages.js?v=1
 HTTP  29/05/2026 09:39:39 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:39:39 127.0.0.1 GET /app.boot-head.js?v=1
 HTTP  29/05/2026 09:39:39 127.0.0.1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:39:39 127.0.0.1 GET /assets/vendor/fonts/star-paper-fonts.css?v=1
 HTTP  29/05/2026 09:39:39 127.0.0.1 GET /assets/vendor/supabase/supabase.min.js?v=1
 HTTP  29/05/2026 09:39:39 127.0.0.1 Returned 200 in 23 ms
 HTTP  29/05/2026 09:39:39 127.0.0.1 Returned 200 in 25 ms
 HTTP  29/05/2026 09:39:40 127.0.0.1 GET /app.boot-flags.js?v=1
 HTTP  29/05/2026 09:39:40 127.0.0.1 Returned 200 in 13 ms
 HTTP  29/05/2026 09:39:40 127.0.0.1 GET /styles.css?v=56
 HTTP  29/05/2026 09:39:40 127.0.0.1 GET /star-paper-tokens.css?v=21
 HTTP  29/05/2026 09:39:40 127.0.0.1 GET /styles.premium.css?v=8
 HTTP  29/05/2026 09:39:40 127.0.0.1 GET /styles.shell.css?v=12
 HTTP  29/05/2026 09:39:40 127.0.0.1 GET /styles.handcraft.css?v=33
 HTTP  29/05/2026 09:39:40 127.0.0.1 GET /assets/vendor/phosphor-icons/regular/style.css?v=1
 HTTP  29/05/2026 09:39:40 127.0.0.1 Returned 200 in 15 ms
